"","zone","label_id"
"4799","MACKAY/CAPRICORN","20-354"
"4800","MACKAY/CAPRICORN","20-180"
"4801","MACKAY/CAPRICORN","20-181"
"4802","MACKAY/CAPRICORN","20-176"
"4803","MACKAY/CAPRICORN","20-178"
"4804","MACKAY/CAPRICORN","20-183"
"4805","MACKAY/CAPRICORN","20-379"
"4806","MACKAY/CAPRICORN","20-381"
"4807","MACKAY/CAPRICORN","20-543"
"4808","MACKAY/CAPRICORN","20-545"
"4809","MACKAY/CAPRICORN","20-546"
"4810","MACKAY/CAPRICORN","20-548"
"4811","MACKAY/CAPRICORN","21-002"
"4812","MACKAY/CAPRICORN","20-370c"
"4813","MACKAY/CAPRICORN","20-370d"
"4814","MACKAY/CAPRICORN","20-553"
"4815","MACKAY/CAPRICORN","20-555"
"4816","MACKAY/CAPRICORN","20-558"
"4817","MACKAY/CAPRICORN","20-559"
"4818","MACKAY/CAPRICORN","21-005g"
"4819","MACKAY/CAPRICORN","20-445"
"4820","MACKAY/CAPRICORN","20-591"
"4823","MACKAY/CAPRICORN","21-076"
"4824","MACKAY/CAPRICORN","20-561"
"4825","MACKAY/CAPRICORN","20-562"
"4826","MACKAY/CAPRICORN","20-563"
"4827","MACKAY/CAPRICORN","20-414"
"4828","MACKAY/CAPRICORN","20-560"
"4829","MACKAY/CAPRICORN","20-564"
"4830","MACKAY/CAPRICORN","20-347"
"4832","MACKAY/CAPRICORN","20-299d"
"4833","MACKAY/CAPRICORN","20-373"
"4834","MACKAY/CAPRICORN","20-374"
"4835","MACKAY/CAPRICORN","20-375"
"4836","MACKAY/CAPRICORN","20-376"
"4837","MACKAY/CAPRICORN","20-250"
"4839","MACKAY/CAPRICORN","20-430"
"4840","MACKAY/CAPRICORN","20-573"
"4841","MACKAY/CAPRICORN","20-578"
"4842","MACKAY/CAPRICORN","20-579"
"4843","MACKAY/CAPRICORN","20-580"
"4844","MACKAY/CAPRICORN","20-581"
"4850","MACKAY/CAPRICORN","20-594"
"4851","MACKAY/CAPRICORN","20-595"
"4852","MACKAY/CAPRICORN","20-596"
"4853","MACKAY/CAPRICORN","20-597"
"4854","MACKAY/CAPRICORN","20-598"
"4855","MACKAY/CAPRICORN","20-599"
"4856","MACKAY/CAPRICORN","21-036a"
"4857","MACKAY/CAPRICORN","21-142"
"4858","MACKAY/CAPRICORN","21-137"
"4859","MACKAY/CAPRICORN","20-566"
"4860","MACKAY/CAPRICORN","21-019"
"4861","MACKAY/CAPRICORN","20-602"
"4862","MACKAY/CAPRICORN","20-604"
"4863","MACKAY/CAPRICORN","20-605"
"4864","MACKAY/CAPRICORN","20-607"
"4865","MACKAY/CAPRICORN","20-608"
"4866","MACKAY/CAPRICORN","20-609"
"4867","MACKAY/CAPRICORN","20-610"
"4868","MACKAY/CAPRICORN","20-612"
"4869","MACKAY/CAPRICORN","20-613"
"4871","MACKAY/CAPRICORN","20-305"
"4876","MACKAY/CAPRICORN","21-051"
"4877","MACKAY/CAPRICORN","21-052"
"4878","MACKAY/CAPRICORN","21-053"
"4879","MACKAY/CAPRICORN","21-055"
"4880","MACKAY/CAPRICORN","20-382"
"4881","MACKAY/CAPRICORN","20-384"
"4882","MACKAY/CAPRICORN","21-056b"
"4883","MACKAY/CAPRICORN","21-054"
"4884","MACKAY/CAPRICORN","21-071"
"4885","MACKAY/CAPRICORN","20-557"
"4886","MACKAY/CAPRICORN","21-007"
"4887","MACKAY/CAPRICORN","21-037"
"4888","MACKAY/CAPRICORN","21-057"
"4889","MACKAY/CAPRICORN","21-060"
"4890","MACKAY/CAPRICORN","21-062"
"4891","MACKAY/CAPRICORN","21-145b"
"4892","MACKAY/CAPRICORN","20-307"
"4893","MACKAY/CAPRICORN","20-226"
"4894","MACKAY/CAPRICORN","20-263"
"4895","MACKAY/CAPRICORN","21-131"
"4896","MACKAY/CAPRICORN","21-065"
"4897","MACKAY/CAPRICORN","21-068"
"4898","MACKAY/CAPRICORN","20-378a"
"4899","MACKAY/CAPRICORN","20-508"
"4900","MACKAY/CAPRICORN","21-072"
"4901","MACKAY/CAPRICORN","21-009"
"4904","MACKAY/CAPRICORN","21-145c"
"4905","MACKAY/CAPRICORN","21-077"
